text,label
"كل واحد يعرف روحو الحمد لله المنشور ليس مضحكا ولا يمثل اي احد .. بركاو من نشر الفتنة 
.. انا عاشرت ناس كثير واجناس مختلفة المليح في كل بلاصة والمشرار في كل بلاصة",0
الجزائر ماشي جديدة هذه قديمة وفيها السيراج حكاية الزيت والغلى من البكري ماشي من اليوم برنامج نتاع فرنسا مزال يمشوا بيه والضحية هو الشعب,0
سبيييييد,0
هدا خاين الوطن,1
المال و البنون زينة الحياة الدنيا .... كاين لي ربي رزقو بالمال و مرزقوش بالذرية و العكس ,0
رحو نيك موك,1
"Rak dir fel fitna, rebi yahdik",1
Tfoooooooooooooooooooooooooooooooh,1
Qbayli ki yedkhel l bar yetfeker yemak ..😊😊,1
مليكمنتار لاباج راهي معمرة بالكعب 🤣🤣🤣,1
نيك مك يا وليد القحبة,1
سيناريو مصر يطبق بكل تفاصيله ..والمخرح نفسه الامرات العبريه....لك الله يا جزائر....,0
سيرطو مولوخية تاع نمي,1
اقتارحو علينا وصفة تاع ميزاجوغ,0
نعبد ربي سبحانو,0
الإجابة هي : طاجين لحلو   . لحم لحلو   طاجين العين . طاجين البرقوق,0
@user وعلاش تغبني في روحك,0
خامجة,1
جيزي كاش مسابقات عندكم ولا والو,0
ان حبيت نفهم واش دخلك. وقيل خلص عليها  الي مزبله التاريخ,1
اخدمو على رواحكم حابين باطل شعب شكوبي راقدة و تمونجي و باغين ياكلو باطل . نوض تخدم يابوكيمون,1
اعشقها,0
الصبع الأزرق 😂🤣,1
اقعد استنى,0
الى متى,0
كلمة تطبيع تبانلي شغل كلمة غير محترمة ,0
استغفر الله الله يرحم معطوب الزعيم,0
Barak Allah ou fik cheikh,0
نقي روحك أمبعد ساهل ,1
شنو هاذا يا خرى,1
الله يرحمو رياض كل شيئ مكن,0
باين متحبش البرد ههه,1
الحمد لله ان هناك رجال في الجزائر لوكانت الدولة هي من تكفلت به لكان كلف الملايير ومدة انجازه غير محدودة لحشومة قريب يقولوا للشعب لنا الجمهورية ولكم الجزائر,0
مولودية واش دخلها ,0
عيشي ياڨملة في بلاد الشعر.. 😔😔😔,1
الفوايواات,1
Nta lka3b lbkbir,1
Nik mok  لوكان كاين معطوب الحيوانات ولاد القحاب ما تيقزيزتيش قاع,1
 والله منفيك نحوس نعرف كيفاه نحي كلكار,0
كم سعر مكيف 9,0
يتبعون مقولة اويحيى جوع كلبك يتبعك كلاب السلطة يتنحاو قاع ترحلوا يعني ترحلوا تتنحاو قاع دولة مدنية ماشي عسكرية يسقط حكم العسكر,1
مولودية كبيرا عليك صاحبي باين نتا من اتحاد النسوان,1
هاد كار عندي يومين من اللي جيت فيه ، شوفار يسوق قريب 20 ساعة بلا راحة ، الله يرحمهم,0
متي السحب,0
القافلة تسير و الكلاب تنبح 💣💪,1
الجزاءر الجديده هي جزاءر  ولكن بمظهر اخر,0
راه برلمان الحفافات صادق عليه سما خارجين جارجين,0
ممكن الثمن,0
اذا كان هناك شئ سيتحقق فهو المغرب الامازيغي قبل العالم العربي تاع نمي لي ناك الدنيا بالخيانات و التطبيع ....,1
واش عقلتو علا شكون لي حرركم من فرنس خخخخ بلا من جبدو الدوسيات القدام ,0
معندكمش مبداء تحوسو غير على صلاحكم انتم لستم بوطنيين ديرو كي الشعب الحر,1
أكيد,0
الله ,0
جاتو الفاطوره غاليه,0
نكتها بمولودية يالقرعة 😂🤣,1
مكانش منها راكم جايين معانا 2021؟؟,0
راهم يمهدوا باش يرسلوا اولاد الزواولة للمالي و النيجر باش يعسوا مصالح فرانسا و من بعد كي يتعوقو و يطالبوا بالحقوق يقمعوهم,0
تلميذ106,1
ممكن شهادة ميلاد نتاعك .,0
5oyia amir dima 3agbhom ,0
روح نك مك,1
كلب فرنسا,1
هاذوك الخزرات انا حسيتهم موجهين لعبلة مشي للكاميرا ههه ,0
نسمع سولكينغ برك 🤷,0
  كي نكملو هك نمرضو هههههه الناس ماهيش فاهمة 🙄,0
اين هي اموال البترول والغاز الطبيعي,0
الجيش مين اولاد الشعب لي يحمي الشعب فقط مدنية ماشي عسكرية,0
"تحت شعار يتحاسبو قاع""",0
لعنة الله على المنافقين و معثري الفتنة الويل لكم يوم الحشر ،لا تقبل منكم شفاعة,1
هدا يتكلم غير الشر تدي حياتك كمال تسمع غير الشر على خاطر وجه شر والعياد بي الله من هده الاشكال .,1
أن شاء الله الطيحة,0
"هناك شيء لم افهمه بعد : 
الم يكن بوتبون لصا عام 2019  و قبل 2019 ?
الم يكن في جماعة المحنط و أخواته الذين نهبوا البلاد طوال أكثر من 20 سنة ؟",1
بلبركة عليك,0
"خاطيني كلش 
الحمد لله",0
مرحبا،يمكنك اكتشاف خصائص منتجاتنا على الرابط التالي.  ,0
أين هي الهدايا الخاصة بالطمبولة خدعتونا,0
والله لست مع تبون ولست مع شنقريحة مييي كقلت الامم المتحدة باين بلي انت فرشة الامم المتحدة الي يحكمو فيها الصهاينة تهدر وتآمن بها وترقد وتغفل فالغاشي الي اتبع فيك فيك يابريق النار شعلة تحتك .,1
لطفي كم اعجبتني هاته الاغنية الله لا تربحهم حقيقة...لقد فرجت على قلبي,0
ايه نورمال قروك ضد بلادك ياخين تفوه عليك,1
نسيت بوصبع العبيد تع بو تبون🤔,1
شحال عطاوك يالجيعان,1
نتوما مزالكم في زيزوا لايت و تهدر علا الغاشي,1
إشهار هايل,0
وجهك وجه تطياح نيشان 👌😏,1
Mnsm3homch wnlbea TN w lacoste w nsiporti USMA 3andk mouchkel 🙄,0
تحركنا اختك يا عطاي,1
جي نتا فيها حلوة يا المازدة,1
والرئيس الكلب لي رجع عاصمة فلسطين القدس لإسرائيل,1
و انا كي منفرغش الشهوة تاعي في الحلال نفرغها في ترمتك مثلا 😂😂😂😂,1
"يازبرطوط نهار لرجعو جامع مغرض ازياء علاه مڨلتش لطفك يارب 
ربي يخلف على لڨلاليل",1
حيا الله لأحرار,0
"Quand on retient un pet, cela va droit au cerveau et c'est comme ça que naissent les pensées merdiques 🙂 
أحزق خو .. إرحم عقلك من الفضلات 🙏",1
تاءكدت انك لقيط,1
وايدكم فيييه 🖕😂,1
ماكرون مجنووووون يرسل اختو تقاتل الله يلعن الظالمين ,1
"نحي الكسكيطة وأرواح معانا""""",0
تحبا ربراب,0
ربي يحفظك ياشيخ راك رجل حق مهما واش اتقول راك قولتها بالسنة والقرأن مهوش منافق كما البعض الشيوخ في الخليج,1
الرئيس الذي اعطى فلسطين لاسرائيل ودفع الدول العربية للتطبيع مع اسرائيل,0
عيب عليك,1
هايل,0
ادعوا الله، ان يهدي هاؤلاء الفاسدين، ان يستعملوا اموال الشعب لبناء ، مباني وسكنات تليق للعيش الكريم، وادعوا لهم ان يأتوا بمهندسين معماريين متفوقين، في الاعمار. حتى، يينوا ويصمموا بناءات سليمة وآمنة، والله  إن كل شيء شر، فهو منا ومن الشسطان وكل شيء خير فهو من الله، ,0
ال 106 تحلب وولا يهدر على معطوب ,1
كافي,1
القانون فوق الجميع لي دار يخلص وهذا ربراب اذا كان مظلوم فهناك عدالة واذا كان ظالم فهناك سجن,0
 chabka 😂😂,0
اختك*,1
انا معنديش بطال ممكن استفادة,0
😂😂😂🤣🤣🤣🤣 كاين عبادة الاصنام في وقت الجاهلية و كاين عبادات القرن الواحد و العشريين خخخخخ,0
وجد روحك أيامك معدودة,1
تفووووووو يا كلب,1
مولودية وتقعدلهم العقدة 💚,1
الرئيس لي نحا فلسطين من الخريطة,0
كلب فرنسا,1
تفوه عليك يالقومي وليد فرانسا,1
روحي تدي الخبر روحي كون جيتي ساترة روحك ما يدورش عليك الذبان و علابالك على من يدور الذبان جابلي ربي 💩💩💩,1
معطوب سبحانه ,1
حي الله الاحرار اينما وجدو,0
الخل,0
الله لا تربحكم يا اشباه عرب,1
الجزائر,0
راهم يسترجعوا في الاموال المنهوبة برك ومن بعد يولي كل شي لمكانه,0
السلام عليكم حبيت نعرف راكم عاملين مسابقة,0
الله يدمرهم ان شاء الله فسدونا ولادنا وخربلهم عقولهم الله يلعنكم,1
تقدر تكون مهندس معماري بامتياز بصح صدقني صديقي رانا فعلا قادرين نديرو ناطحات سحاب كون يخطونا بوبرويطة وجماعتو,0
كلشي مبروك وليد بلدي ...مزيد من النجاحات إن شاء الله...,0
 فريطوملات بالبيض خو تاكل؟,0
.واش راه صاري يخووووووووووووووووي,0
من هاذو كامل نشجع مولودية و نسمع سولكينڨ مينداك و يدك ف هااذاك لي في بالك ⁦❤️⁩,1
هههه حساب مضحك راح يخلصونا بالعملة الصعبة ههههه ياك بالدينار فعلا أضحوكة,0
النتديد بدون تخريب هو عصيان مدني و فقط,0
رخاس,1
بدات ثقتي تهتز في منتوجكم,0
انتم ناس فحولة.....والحديث قياس.,0
ومشاكل الحدود مع المروك ثاني راهم غير ينومو فالشعوب  جيش الجزائر وجيش المروك خاوة  خاوة  وعلى شعبهم طايحين بالهراوة  🤣,0
3leh jésus endo 3lam te3 🇺🇸? 🤔,0
كذاب ولحاسين,1
امشي نيك مك يا لعطاي,1
روح نيك مك تفوووو,1
تموتوا على لغة لي كانوا شابعين في جداتكم يا عطاي، تموتوا على قتالكم نيك الراسة نتاعك,1
جاو المسعولين والمسؤولين يوم القيامة عما كانو يعملون,1
حيا الله الفريت اوملات بالبيض 😂,0
 6ix9ine nsiteh,0
قستها سير تو كي قلت مولودية😂😂👌👌,0
ومعطوب شكون يعبدو  يربك حرت ,1
@user ايا مزية ..الحمدالله,0
اي عائلة ولا اجد ما اعمله,0
أدي حكيتك و,1
اللهم امين يا رب العالمين,0
"ديرو جام 
مبعد نولي",0
اشحال يستقامولي مع العلم أنا ب,0
الورم  السرطاني الخبيث تاع السوسة المدسوسة دشر_ئيل,1
اني بعثتولك في الخاص,0
حمار,1
k ymak,1
ولاه ما وقة ربراب,0
نسمع راي  وسولكينغ برك 😂,0
نكحتها صاحبنا,1
لالجيرينو كبير عليك يا بوترمه متنجملوش...,1
"هههه بركانا يا ميرو 
أحكي 5دقائق  باللغة الفرنسية والله نعتبرك صح راك حاب لخير للبلادة بنية حسنة 
كيفاش قريت طبعا باللغة الفرنسية 
مي مشكيتش جبت الشهادة بقرايتك ....
كفانا إستحمار 
أظن أن هناك جهة دات نفود كبير ورائك 
اي انا مواطن بسيط من ولاية جيجل 
مانيش تاع عبلة ومانيش من صحاب زنجبيل 
ربي عطاني عقل وراني نشوف كل شئ منسمع حتى لواحد 
نعرفو دولة ونعرفو شعب ونعرفوكم انتم",0
حشيتوهالنا,1
Yaw nehraqe hechone yemmak ya lebatar ya  106 ya rekhise ya qehba chabi3e zebe wu jite tetkbire 3elina yakhi noqche ,1
شعب راضي شباغي دير,0
ربي يبعد عنك كل عين عائنة و حاسدة و يجنبك شر و حقد و بغض و مكيدة هؤلاء الناس,1
يبارك فيك لعقوب ليك,0
انا شريتها من قسنطينة,0
تحيا الشعب,0
"في الوقت الذي كان تأتي الاخبار تباعا من طرف مدونين  عن الزلزال في الجزائر وبالصدفة إذاعة الجزائر الرسمية  القناة الأولى ذكرت الخبر  بشكل سريع جدا ثم انتقلت الى ملف الأراضي التي يزرعها القرويين المغاربة حيث يقول مذيع النشرة نحن بالمرصاد لمن يحاول او تسول نفسه  ان يمس شبر من ارضنا
أنعم أ سي",0
ياجورا وابدعو في تصويرها,0
هدرت الصح بصح غلطت كي عمت على الرجال الكل,0
عصابة فعلا,0
#لاأبالي لازم شعب يكون واعي..ماشي تبع وخلاص,0
الماركة ما خلاتش خاوتي في الاشهار ولكن نبهكم باللي خدمات ما بعد البيع راهي كارثة ..يخسرلك الجهاز تاعك كلاك بوبي انا صراتلي مع الفزيون سمارت 43 شريتو معندوش شهر خسرلي كي ديتو شربولي لمرار .. مصلحة مابعد اليع خردة التقني مكانش حط الجهاز تاعك او توكل على ربي ياكلو الغبار حذااااري راهم غير يهفو فيكم والله طيشو دراهمكم في الباطل,1
السفيه يقرى ما فيه ,1
بصحتك,0
اعطيني نذوق,0
@user الحمد لله يا ربي كيعاد لاباس\nبلا مزية ربي يفرحك,0
ادا بالمفهوم المختصر هو جاسوس يعمل لصالح فرنسا,1
الف مبروك للجميع فائزين ولعقوب للباك,0
العاهرة  كون  جات  بنادم  تفوووو,1
آمين يارب العالمين والصلاة والسلام على رسوله الكريم 🤲🤲🤲,0
ازول.خويا,0
L Algérie rahet f dak chi 😥,0
أخطونا من الفتنة,0
الرئيس الوحيد الذي وقف في وجه النظام العالمي الصهيوماسوني واوقف الدعم عن اكبر منظماته لمن لا يعرف,0
نخ مخ مروطي,1
Seqsi khtek tjawbek,1
Ou madarch el guira fi bilad el 3arab,0
أقسم بالله العظيم أخذت من عندهم تاقة مكسرة الخدمة زيرو اكسو وهران,1
مبروووك عليك خوزا الأميييييير. عبلوس أخلات عليكم. عاود جاء,0
@user علابالي كاين وكابن أنت من أعز الناس,0
"قال رسول صلى الله عليه وسلّم: ""يدخل امتي الفقراء قبل الاغنياء ب 500عام ",0
يتحالفون مع الصلبين لقتل المستضعفين و نهب ثروات الدول الضعيفة,0
الغساله بقداه,0
Viiiive la kabyli Niiiik gaaaa3 la3rab,1
كي ربراب كي البقية اللي كانت تحمي في العصابة انما هي مجرد تصفية حسابات في اجنحة السلطة و الان هي لصالح الجناح الذي عرف كيف يستغل الاغبياء و العبيد من هذا الحراك لصالحه,1
المغرب عندو الزطلة وحنا عندنا القمح كي تصب في مارس العام يجي مليح,0
العسل أرواح شوف مع هاذ المخلوقة راهي غير نتاع ماكلةفي رمضان تهبلنا نبلوكوها م,0
تعسو مولودية كتر ملي تعسو خياتكم,1
لي ما يلحقش للعنب يقول حامض 😉,0
انجاز عظيم ، و اخيرا ديرناها جزائرية,0
الله يبارك ربي يزيد ويبارك,0
والله اعطيني وجهك نقابل بيه.تتبدلو كي التاتة,1
 nti lm3toub😂,1
لاتنسى ايضا النعناع كان 30.000ولى70.000,0
الرزق بيد الله اما خبزة الحلال لي تتعب عليها بيدك فيها متعة وحدها ,0
اعجبني,0
العصابه تريد تفريق الشعب لا تحقيق مطالبهم ردو بالكم خاوتي حكاية ربراب خرطي برك,0
وش اعطانا ربراب جميعا قبايل ولا عرب ؟جاوبوني ياك واحد مافكر فينا احنا الشعب و زيادة كلنا جزائريين طيرو تهبطوا نتسماو جزائريين,0
 kahal 🤣🤣🤣,0
@user @user @user نحبك بزاف ❤️,0
جماعة القايد فقط من يهاجمون ربراب,1
"الترحم اذا على المسلم فقط من أين انتم 
الكفار هم انتم",1
خصني الرابط تاع le deux,0
الحقد المجاني,0
يو ترخف يا أمير المازدا,1
خاصني تليفزيون براند كانش تخفيضات ولا والو,0
انا عندي قط دايرلو شمبرا خير ملاجونس تاع دجيزي,0
Les  pays  li  fihoum  enajah  mabrouk,0
يسما زيادة في شدة القمع ولا واش . ؟,0
خاوتي لاباج هادي تاع المخبرت اخطاكم منها,0
الوحيد الذي يضرب في عمق و له تفكير القادة هو المجرم #ربراب...استطاع و يستطيع تفقير و تجويع شعب في دولة بحجم قارة... ,1
رجل جايح هذا ،اذا ماحكمش هو الدار راحت،لعن الله قوما حكمتهم امرأة،وممكن من فعل السحر باسكو الرجال ماهومش هكذا كيما اللي رآه يحكي عليه الشيخ,1
الله غالب شكارة ترخس بناد علق على الكرسي لي راك قاعد تحزق  عليه  كره منك,1
مخابرات ارهابيه تسقط المافيا العسكريه,0
تقرير مفبرك كالعادة .للحصول على سبب للتدخل في ليبيا و بمباركة دول الجوار,0
وجوه جديدة ستدخل المسجد لا تعرفونها لا ترموها بالنفاق بل تبسموا في وجوهها لعلها تكون بداية توبتهم وتوبتنا إن شاء الله تعالى...,1
يخي كبول.....مازلت تحل في بيت الراحة تاعك برك... جبري,1
ودي عس أي زكك يا الفرخ روح حوس على أصلاك خير ,1
تهلا في روحك هدي خاطيك بلادهم وحقهم وانت طز,1
بالبركه,0
هذا لي خرج ختك دفيلي بكاااس ولا نسيت,1
المستهزؤونالمتشائمونانتم سبتنا,0
موت يازيطوط والله غير تقتلك القنطة هذا راه يخدم في وطنو حتى وإن كان خريج مدرسة فرنسية وأنت ياعدو الوطن ياخريج المدرسة الصهيونية ياولد شارون,1
الله يرحم الرجال,0
في بلادنا لي يكون مع الحق و يقول الصح حمار مالا أفتخر بكوني حمارا على أن أكون إنسان,1
9astha  😁😂,0
روح ينيكوك كلاب الحومة علا تخمامك لي جبته من قاعك,1
@user خيار الناس انت معليش راكي معروضة مرحبا بيك خديجة,0
احلى دوري عربي هو والمغرب كجماهير,0
زبي  لاباج فنيك    دير بوبليكاسيون فشهر وتزيد تهدر,1
الحكومة الجزائرية تعتذر للشعب لانها لم تعتذر بعد .,0
بروسيسور عيان ناقس,0
تم توقيف ربراب على خلفيه  اكتشاف انه هو السبب في مرض السكر  الذي يعاني. منه الجزائريين بصفته  هو الذي يبعها للشعب...... ياو ترحلواقاع,0
نتوما تاني ركم مركزين في رقبته,0
تع وجهك تلبس لاكوست و ڨوتشي يالراس البطيخ,1
تشهي ��,0
